"id","imdb_id","popularity","budget","revenue","original_title","cast","homepage","director","tagline","keywords","overview","runtime","genres","production_companies","release_date","vote_count","vote_average","release_year","budget_adj","revenue_adj"
135397,"tt0369610",32.985763,1.5e+08,1513528810,"Jurassic World","Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson","http://www.jurassicworld.com/","Colin Trevorrow","The park is open.","monster|dna|tyrannosaurus rex|velociraptor|island","Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",124,"Action","Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu","6/9/2015",5562,6.5,2015,137999939.3,1392445893
135397,"tt0369610",32.985763,1.5e+08,1513528810,"Jurassic World","Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson","http://www.jurassicworld.com/","Colin Trevorrow","The park is open.","monster|dna|tyrannosaurus rex|velociraptor|island","Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",124,"Adventure","Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu","6/9/2015",5562,6.5,2015,137999939.3,1392445893
135397,"tt0369610",32.985763,1.5e+08,1513528810,"Jurassic World","Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson","http://www.jurassicworld.com/","Colin Trevorrow","The park is open.","monster|dna|tyrannosaurus rex|velociraptor|island","Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",124,"Science Fiction","Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu","6/9/2015",5562,6.5,2015,137999939.3,1392445893
135397,"tt0369610",32.985763,1.5e+08,1513528810,"Jurassic World","Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson","http://www.jurassicworld.com/","Colin Trevorrow","The park is open.","monster|dna|tyrannosaurus rex|velociraptor|island","Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",124,"Thriller","Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu","6/9/2015",5562,6.5,2015,137999939.3,1392445893
76341,"tt1392190",28.419936,1.5e+08,378436354,"Mad Max: Fury Road","Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman","http://www.madmaxmovie.com/","George Miller","What a Lovely Day.","future|chase|post-apocalyptic|dystopia|australia","An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",120,"Action","Village Roadshow Pictures|Kennedy Miller Productions","5/13/2015",6185,7.1,2015,137999939.3,348161292.5
76341,"tt1392190",28.419936,1.5e+08,378436354,"Mad Max: Fury Road","Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman","http://www.madmaxmovie.com/","George Miller","What a Lovely Day.","future|chase|post-apocalyptic|dystopia|australia","An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",120,"Adventure","Village Roadshow Pictures|Kennedy Miller Productions","5/13/2015",6185,7.1,2015,137999939.3,348161292.5
76341,"tt1392190",28.419936,1.5e+08,378436354,"Mad Max: Fury Road","Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman","http://www.madmaxmovie.com/","George Miller","What a Lovely Day.","future|chase|post-apocalyptic|dystopia|australia","An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",120,"Science Fiction","Village Roadshow Pictures|Kennedy Miller Productions","5/13/2015",6185,7.1,2015,137999939.3,348161292.5
76341,"tt1392190",28.419936,1.5e+08,378436354,"Mad Max: Fury Road","Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman","http://www.madmaxmovie.com/","George Miller","What a Lovely Day.","future|chase|post-apocalyptic|dystopia|australia","An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",120,"Thriller","Village Roadshow Pictures|Kennedy Miller Productions","5/13/2015",6185,7.1,2015,137999939.3,348161292.5
262500,"tt2908446",13.112507,1.1e+08,295238201,"Insurgent","Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller","http://www.thedivergentseries.movie/#insurgent","Robert Schwentke","One Choice Can Destroy You","based on novel|revolution|dystopia|sequel|dystopic future","Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.",119,"Adventure","Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel","3/18/2015",2480,6.3,2015,101199955.5,271619025.4
262500,"tt2908446",13.112507,1.1e+08,295238201,"Insurgent","Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller","http://www.thedivergentseries.movie/#insurgent","Robert Schwentke","One Choice Can Destroy You","based on novel|revolution|dystopia|sequel|dystopic future","Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.",119,"Science Fiction","Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel","3/18/2015",2480,6.3,2015,101199955.5,271619025.4
262500,"tt2908446",13.112507,1.1e+08,295238201,"Insurgent","Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller","http://www.thedivergentseries.movie/#insurgent","Robert Schwentke","One Choice Can Destroy You","based on novel|revolution|dystopia|sequel|dystopic future","Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.",119,"Thriller","Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel","3/18/2015",2480,6.3,2015,101199955.5,271619025.4
140607,"tt2488496",11.173104,2e+08,2068178225,"Star Wars: The Force Awakens","Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley","http://www.starwars.com/films/star-wars-episode-vii","J.J. Abrams","Every generation has a story.","android|spaceship|jedi|space opera|3d","Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",136,"Action","Lucasfilm|Truenorth Productions|Bad Robot","12/15/2015",5292,7.5,2015,183999919,1902723130
140607,"tt2488496",11.173104,2e+08,2068178225,"Star Wars: The Force Awakens","Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley","http://www.starwars.com/films/star-wars-episode-vii","J.J. Abrams","Every generation has a story.","android|spaceship|jedi|space opera|3d","Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",136,"Adventure","Lucasfilm|Truenorth Productions|Bad Robot","12/15/2015",5292,7.5,2015,183999919,1902723130
140607,"tt2488496",11.173104,2e+08,2068178225,"Star Wars: The Force Awakens","Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley","http://www.starwars.com/films/star-wars-episode-vii","J.J. Abrams","Every generation has a story.","android|spaceship|jedi|space opera|3d","Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",136,"Science Fiction","Lucasfilm|Truenorth Productions|Bad Robot","12/15/2015",5292,7.5,2015,183999919,1902723130
140607,"tt2488496",11.173104,2e+08,2068178225,"Star Wars: The Force Awakens","Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley","http://www.starwars.com/films/star-wars-episode-vii","J.J. Abrams","Every generation has a story.","android|spaceship|jedi|space opera|3d","Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",136,"Fantasy","Lucasfilm|Truenorth Productions|Bad Robot","12/15/2015",5292,7.5,2015,183999919,1902723130
168259,"tt2820852",9.335014,1.9e+08,1506249360,"Furious 7","Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson","http://www.furious7.com/","James Wan","Vengeance Hits Home","car race|speed|revenge|suspense|car","Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.",137,"Action","Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films","4/1/2015",2947,7.3,2015,174799923.1,1385748801
168259,"tt2820852",9.335014,1.9e+08,1506249360,"Furious 7","Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson","http://www.furious7.com/","James Wan","Vengeance Hits Home","car race|speed|revenge|suspense|car","Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.",137,"Crime","Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films","4/1/2015",2947,7.3,2015,174799923.1,1385748801
168259,"tt2820852",9.335014,1.9e+08,1506249360,"Furious 7","Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson","http://www.furious7.com/","James Wan","Vengeance Hits Home","car race|speed|revenge|suspense|car","Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.",137,"Thriller","Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films","4/1/2015",2947,7.3,2015,174799923.1,1385748801
281957,"tt1663202",9.1107,1.35e+08,532950503,"The Revenant","Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson","http://www.foxmovies.com/movies/the-revenant","Alejandro GonzÃ¡lez IÃ±Ã¡rritu","(n. One who has returned, as if from the dead.)","father-son relationship|rape|based on novel|mountains|winter","In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",156,"Western","Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures","12/25/2015",3929,7.2,2015,124199945.4,490314247
281957,"tt1663202",9.1107,1.35e+08,532950503,"The Revenant","Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson","http://www.foxmovies.com/movies/the-revenant","Alejandro GonzÃ¡lez IÃ±Ã¡rritu","(n. One who has returned, as if from the dead.)","father-son relationship|rape|based on novel|mountains|winter","In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",156,"Drama","Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures","12/25/2015",3929,7.2,2015,124199945.4,490314247
281957,"tt1663202",9.1107,1.35e+08,532950503,"The Revenant","Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson","http://www.foxmovies.com/movies/the-revenant","Alejandro GonzÃ¡lez IÃ±Ã¡rritu","(n. One who has returned, as if from the dead.)","father-son relationship|rape|based on novel|mountains|winter","In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",156,"Adventure","Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures","12/25/2015",3929,7.2,2015,124199945.4,490314247
